==== DQN Training Boxes Positions ====

==== Episode 1 START ====
    Step 19 | Box 16 placed at (0, 8, 0) rot=3, size=(1, 2, 10)
    Step 28 | Box 29 placed at (6, 2, 9) rot=5, size=(3, 5, 1)
    Step 39 | Box 44 placed at (5, 6, 8) rot=3, size=(1, 4, 2)
    Step 45 | Box 4 placed at (6, 0, 0) rot=2, size=(4, 1, 1)
    Step 46 | Box 7 placed at (6, 0, 1) rot=2, size=(4, 1, 1)
    Step 47 | Box 19 placed at (6, 0, 2) rot=1, size=(4, 1, 1)
    Step 48 | Box 45 placed at (6, 0, 3) rot=2, size=(4, 1, 1)
    Step 49 | Box 39 placed at (7, 0, 4) rot=4, size=(1, 1, 2)
==== Episode 7 END ====
==== Episode 8 START ====
    Step 0 | Box 20 placed at (5, 2, 0) rot=2, size=(3, 5, 3)
    Step 1 | Box 22 placed at (1, 5, 0) rot=1, size=(3, 3, 5)
    Step 2 | Box 26 placed at (1, 2, 5) rot=2, size=(9, 5, 1)
    Step 3 | Box 35 placed at (1, 3, 6) rot=4, size=(6, 3, 2)
    Step 4 | Box 44 placed at (5, 0, 8) rot=5, size=(3, 6, 2)
    Step 5 | Box 0 placed at (0, 1, 0) rot=5, size=(1, 5, 7)
    Step 6 | Box 1 placed at (5, 8, 0) rot=1, size=(5, 1, 7)
    Step 7 | Box 6 placed at (1, 0, 8) rot=2, size=(3, 5, 2)
    Step 8 | Box 14 placed at (2, 7, 5) rot=4, size=(2, 3, 5)
    Step 9 | Box 15 placed at (4, 6, 7) rot=1, size=(5, 3, 2)
    Step 10 | Box 17 placed at (0, 7, 5) rot=4, size=(2, 3, 5)
    Step 16 | Box 7 placed at (9, 3, 6) rot=4, size=(1, 5, 4)
    Step 19 | Box 4 placed at (0, 1, 7) rot=5, size=(1, 6, 3)
    Step 35 | Box 10 placed at (8, 0, 0) rot=1, size=(2, 1, 7)
    Step 36 | Box 11 placed at (4, 0, 0) rot=5, size=(1, 2, 7)
    Step 38 | Box 24 placed at (4, 0, 8) rot=2, size=(1, 6, 2)
    Step 39 | Box 29 placed at (8, 0, 7) rot=3, size=(2, 3, 2)
    Step 40 | Box 40 placed at (4, 8, 9) rot=2, size=(6, 2, 1)
    Step 43 | Box 28 placed at (8, 3, 6) rot=0, size=(1, 3, 3)
    Step 47 | Box 38 placed at (1, 5, 8) rot=1, size=(3, 1, 2)
    Step 49 | Box 37 placed at (8, 4, 9) rot=2, size=(1, 3, 1)
==== Episode 8 END ====
==== Episode 9 START ====
    Step 0 | Box 39 placed at (4, 6, 0) rot=0, size=(5, 3, 5)
    Step 1 | Box 2 placed at (0, 3, 0) rot=0, size=(2, 7, 4)
    Step 2 | Box 10 placed at (0, 0, 4) rot=0, size=(4, 7, 2)
    Step 3 | Box 0 placed at (0, 8, 5) rot=1, size=(9, 2, 3)
    Step 4 | Box 3 placed at (6, 0, 0) rot=4, size=(3, 4, 4)
    Step 5 | Box 8 placed at (4, 0, 0) rot=4, size=(2, 4, 6)
    Step 6 | Box 12 placed at (6, 0, 5) rot=5, size=(2, 8, 3)
    Step 7 | Box 11 placed at (3, 2, 6) rot=3, size=(3, 5, 3)
    Step 8 | Box 48 placed at (8, 0, 4) rot=3, size=(2, 3, 6)
    Step 9 | Box 22 placed at (6, 5, 8) rot=1, size=(4, 4, 2)
    Step 10 | Box 1 placed at (0, 4, 8) rot=0, size=(3, 5, 2)
    Step 19 | Box 21 placed at (3, 7, 8) rot=2, size=(3, 3, 2)
    Step 21 | Box 6 placed at (9, 3, 0) rot=4, size=(1, 2, 8)
    Step 23 | Box 4 placed at (4, 0, 9) rot=4, size=(2, 6, 1)
    Step 29 | Box 36 placed at (6, 3, 8) rot=0, size=(3, 2, 2)
    Step 35 | Box 13 placed at (2, 2, 6) rot=4, size=(1, 2, 4)
    Step 36 | Box 38 placed at (6, 9, 8) rot=1, size=(4, 1, 2)
    Step 38 | Box 14 placed at (0, 9, 8) rot=2, size=(3, 1, 2)
    Step 46 | Box 43 placed at (0, 2, 6) rot=2, size=(2, 2, 1)
    Step 47 | Box 34 placed at (1, 3, 7) rot=4, size=(1, 1, 3)
    Step 48 | Box 42 placed at (9, 3, 8) rot=0, size=(1, 2, 1)
